Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
Sudan,1986,2.21,3.25,6.25,12.25,0,23.96
Sudan,1987,2.08,3.25,7,11.54,0,23.87
Sudan,1988,2.08,2.33,7.33,9.58,0,21.32
Sudan,1989,1,1.42,8.33,6.42,0,17.17
Sudan,1990,1,2,7.58,6.08,0,16.66
Sudan,1991,1,2,8.67,8.42,0,20.09
Sudan,1992,1,3,9.21,5.25,0,18.46
Sudan,1993,1,3,9,1.58,0,14.58
Sudan,1994,1.21,3,9.5,3.04,0,16.75
Sudan,1995,1.5,3,9.5,3.21,0,17.21
Sudan,1996,1.5,3,9.58,5.25,0,19.33
Sudan,1997,1,5.29,9.5,5.67,0,21.46
Sudan,1998,0.46,8.79,9.5,4.46,0,23.21
Sudan,1999,1.83,5.29,10,2.63,0,19.75
Sudan,2000,0.5,7.92,10,9.54,0,27.96
Sudan,2001,0.17,10,10,11.17,0,31.34
Sudan,2002,0,10,10,10.92,0,30.92
Sudan,2003,0.38,10,9.25,10.54,0,30.17
Sudan,2004,0.79,10,9.42,9.5,0,29.71
Sudan,2005,1,10,9.5,10.96,0,31.46
Sudan,2006,1,9.67,9.92,11.54,0,32.13
Sudan,2007,1,9.88,10,11,0,31.88
Sudan,2008,2.75,9.75,10,10.58,0,33.08
Sudan,2009,6.25,8.71,10,9.88,0,34.84
Sudan,2010,5.13,8.75,9.67,9.58,0,33.13
Sudan,2011,4.58,7.92,9.5,9.46,0,31.46
Sudan,2012,4.21,6.67,9.5,10.33,0,30.71
Sudan,2013,4,5.25,9.5,9.08,0,27.83
Suriname,1984,NA,NA,NA,NA,NA,0
Suriname,1985,NA,NA,NA,NA,NA,0
Suriname,1986,3.25,3.83,NA,11.25,1,19.33
Suriname,1987,3.21,3,NA,12.04,1.17,19.42
Suriname,1988,3.04,3,NA,12.17,1.29,19.5
Suriname,1989,3.5,3,NA,13.5,0.75,20.75
Suriname,1990,3.79,3.33,NA,13.79,0.33,21.24
Suriname,1991,4.5,4,NA,13.67,0,22.17
Suriname,1992,4.5,4,NA,12,0,20.5
Suriname,1993,4.5,4,NA,11.58,0,20.08
Suriname,1994,4.67,4,NA,12.25,0,20.92
Suriname,1995,5,4,NA,11.63,0,20.63
Suriname,1996,4.58,4,7.5,13.33,2.33,31.74
Suriname,1997,6.33,6,7.5,12.08,3.08,34.99
Suriname,1998,10,10,7.5,12,1,40.5
Suriname,1999,8.58,6.79,9,12,0.88,37.25
Suriname,2000,7,3.29,9,12,0,31.29
Suriname,2001,7.46,5.58,9,11.29,0,33.33
Suriname,2002,6,0,9,12.38,0,27.38
Suriname,2003,6,8.13,9,11.13,1.17,35.43
Suriname,2004,6.54,9.58,9.29,10.88,2.46,38.75
Suriname,2005,6.83,10,9.5,11.17,0.67,38.17
Suriname,2006,6.71,10,9.5,11.5,0.58,38.29
Suriname,2007,7.63,10,9.5,12.79,1,40.92
Suriname,2008,7.67,10,9.83,12,1,40.5
Suriname,2009,6.88,10,10,12.13,1.38,40.39
Suriname,2010,8.38,10,10,13.13,2.63,44.14
Suriname,2011,9.08,6.79,10,12.58,3,41.45
Suriname,2012,9.42,10,10,13.25,3.08,45.75
Suriname,2013,8.92,10,10,11.92,3.42,44.26
Sweden,1984,8.32,8.77,8.54,12.21,1.58,39.42
Sweden,1985,8.71,9,8.54,12.21,1.58,40.04
Sweden,1986,8.5,9,8.04,12,1.79,39.33
Sweden,1987,8.92,9,7.25,12.46,2,39.63
Sweden,1988,9,9,6.75,12.04,1.67,38.46
Sweden,1989,9,9,6.5,11.79,1.58,37.87
Sweden,1990,9,9,6.5,11.29,1.83,37.62
Sweden,1991,9,9,6.33,11.17,2.67,38.17
Sweden,1992,9,8.33,6.5,11.75,3.08,38.66
Sweden,1993,8.63,7,6.33,12,3,36.96
Sweden,1994,8.5,7,5.83,12.75,3.21,37.29
Sweden,1995,8.25,7,6.17,12.88,2.83,37.13
Sweden,1996,6.75,7,6.5,13,2.25,35.5
Sweden,1997,6.88,7.29,6.5,13,1.79,35.46
Sweden,1998,5.92,9.5,6.5,13,1.5,36.42
Sweden,1999,5.67,9.33,6.5,12.5,1.33,35.33
Sweden,2000,6.5,8.71,6.5,12.5,1.5,35.71
Sweden,2001,6.5,8.21,6.5,12.5,1.5,35.21
Sweden,2002,6.5,9.54,6.5,12.5,1.5,36.54
Sweden,2003,6.75,9.25,8.5,13,1.5,39
Sweden,2004,7.13,9.71,8.5,13.13,1.5,39.97
Sweden,2005,7.25,9.54,8.5,13.5,1.5,40.29
Sweden,2006,6.42,9.42,9,13.5,1.5,39.84
Sweden,2007,6,9.96,9,13.5,1.5,39.96
Sweden,2008,6.38,8.79,9.25,13.5,1.5,39.42
Sweden,2009,6.79,6.83,8.5,13.29,2.67,38.08
Sweden,2010,6.5,9.58,8.5,13,2.88,40.46
Sweden,2011,6.5,9.67,8.5,13,2,39.67
Sweden,2012,6.13,9.67,8.5,13.17,1.79,39.26
Sweden,2013,6,10,8.5,13.5,2,40
Switzerland,1984,9.8,9.77,7.53,13,5,45.1
Switzerland,1985,10,10,7.33,13,5,45.33
Switzerland,1986,10,10,7.04,13.21,4.54,44.79
Switzerland,1987,10,10,6.63,13.21,4.63,44.47
Switzerland,1988,10,10,6.5,12.67,4.54,43.71
Switzerland,1989,10,10,6.96,12.83,4.13,43.92
Switzerland,1990,10,10,6.71,12.96,4,43.67
Switzerland,1991,10,10,5.5,13,4,42.5
Switzerland,1992,10,10,6.46,13,4,43.46
Switzerland,1993,10,10,6.17,13.5,4.25,43.92
Switzerland,1994,10,10,6.33,13.5,4.5,44.33
Switzerland,1995,10,10,5.13,13.71,4,42.84
Switzerland,1996,10,9.58,5.5,13.58,3.92,42.58
Switzerland,1997,10,8.63,7,12.88,3.5,42.01
Switzerland,1998,10,9.92,10,13.5,3.42,46.84
Switzerland,1999,10,9.42,10,13.5,2.83,45.75
Switzerland,2000,10,8.17,10,13.54,2.5,44.21
Switzerland,2001,10,9.83,7.38,13.79,2.83,43.83
Switzerland,2002,10,9.83,10,13.54,3,46.37
Switzerland,2003,10,9.54,10,13.83,3.46,46.83
Switzerland,2004,10,9.92,10,14.21,3.96,48.09
Switzerland,2005,9.58,9.75,10,13.58,3.13,46.04
Switzerland,2006,9,9.67,10,14.21,2.5,45.38
Switzerland,2007,8.67,10,10,14,2.04,44.71
Switzerland,2008,8.33,9.63,10,13.58,2.08,43.62
Switzerland,2009,8.42,9.29,10,13.08,2.58,43.37
Switzerland,2010,8,9.88,10,13.5,3.33,44.71
Switzerland,2011,8,9.29,10,13.5,3.63,44.42
Switzerland,2012,7.63,9.17,10,13.5,5,45.3
Switzerland,2013,7.5,10,10,13.71,5,46.21
Syria,1984,3.14,4.13,7.58,10.33,0,25.18
Syria,1985,3.25,4,7.5,9.96,0,24.71
Syria,1986,3.33,4,8.25,9.5,0,25.08
Syria,1987,2.38,4,7.63,9,0,23.01
Syria,1988,2.08,4,7.42,8.83,0,22.33
Syria,1989,2.29,4,7.88,11.17,0,25.34
Syria,1990,3,4,7.71,12.25,0,26.96
Syria,1991,4,4,8.83,14.71,0,31.54
Syria,1992,5.46,5,7,13.38,0.08,30.92
Syria,1993,5,5,6.83,12.17,0,29
Syria,1994,5,5,8,11.04,0,29.04
Syria,1995,5.25,5,9.38,10.83,0,30.46
Syria,1996,5.5,5,9.25,10.54,0,30.29
Syria,1997,5.67,6.67,8,11.5,0.5,32.34
Syria,1998,6.13,9.67,8,11.5,1,36.3
Syria,1999,5.58,8.08,8,13,0,34.66
Syria,2000,6.5,7.13,8,11.5,0,33.13
Syria,2001,7,9.17,8,12.63,0.83,37.63
Syria,2002,7,9.25,8,12.13,1,37.38
Syria,2003,7,9.79,10,12.13,0,38.92
Syria,2004,7,9.25,10,12.38,0,38.63
Syria,2005,7,9.58,10,12.5,0,39.08
Syria,2006,7.25,10,10,12.13,0,39.38
Syria,2007,8.08,10,9.42,11.67,0,39.17
Syria,2008,8.38,10,9.5,11.79,0.75,40.42
Syria,2009,8.42,9.88,9.08,11.58,3.83,42.79
Syria,2010,8.92,10,9,11.08,4,43
Syria,2011,8.58,9.67,9.17,11.58,4,43
Syria,2012,8.29,5.42,10,10.08,4,37.79
Syria,2013,7.79,3.29,10,9.29,4,34.37
Taiwan,1984,7.8,7.17,9.5,13.5,2.5,40.47
Taiwan,1985,8.5,8,9.5,13.75,2.5,42.25
Taiwan,1986,8.58,8.17,9.58,14.38,2.5,43.21
Taiwan,1987,9,9,10,15,2.5,45.5
Taiwan,1988,9.63,9.5,10,14.96,2.5,46.59
Taiwan,1989,10,10,10,13.5,2.5,46
Taiwan,1990,10,10,10,13.25,2.5,45.75
Taiwan,1991,10,10,10,13.33,2.5,45.83
Taiwan,1992,9.96,10,10,13.5,2.5,45.96
Taiwan,1993,9.5,9.5,10,12.92,2.5,44.42
Taiwan,1994,9.5,9,10,12.88,2.5,43.88
Taiwan,1995,9.5,9,10,12.67,2.5,43.67
Taiwan,1996,9.5,9,10,12.58,2.33,43.41
Taiwan,1997,9.33,8.96,10,12.5,2,42.79
Taiwan,1998,9,7.04,10,12.5,2.17,40.71
Taiwan,1999,9,9.92,10,12.5,3.67,45.09
Taiwan,2000,9,10,10,12.5,3.5,45
Taiwan,2001,9,9.21,10,12.58,3.83,44.62
Taiwan,2002,9,9.75,10,12.71,4,45.46
Taiwan,2003,8.79,10,10,13.46,4.92,47.17
Taiwan,2004,8.5,10,10,13.5,5,47
Taiwan,2005,7.83,10,10,13.04,5,45.87
Taiwan,2006,7.92,10,10,12.88,5,45.8
Taiwan,2007,7.5,10,10,13,4.67,45.17
Taiwan,2008,7.71,10,10,13,4.5,45.21
Taiwan,2009,7.54,9.38,10,13.83,4.96,45.71
Taiwan,2010,7.88,10,10,13.5,5,46.38
Taiwan,2011,8,9.96,10,12.71,5,45.67
Taiwan,2012,7.54,10,10,13,5,45.54
Taiwan,2013,7.5,10,10,13.58,5,46.08
Tanzania,1984,3.91,4.33,8,4.5,0,20.74
Tanzania,1985,3.5,4,6.79,4.96,0,19.25
Tanzania,1986,3.5,4,6.5,7.83,0,21.83
Tanzania,1987,4.29,4.5,6.83,4.13,0,19.75
Tanzania,1988,4.5,5,6.75,5.58,0,21.83
Tanzania,1989,4.83,4.92,8,8.42,0,26.17
Tanzania,1990,5,4.58,8.29,7.83,0,25.7
Tanzania,1991,5,5,7.83,6.29,0,24.12
Tanzania,1992,5,5.75,7.88,7.13,0,25.76
Tanzania,1993,5,6,7,6.88,0,24.88
Tanzania,1994,5,6,5.58,6.83,0,23.41
Tanzania,1995,5,6,8.25,8.42,0,27.67
Tanzania,1996,5.33,6,8,7.5,0,26.83
Tanzania,1997,4.83,7.17,8,8,0,28
Tanzania,1998,2,9.67,8,2.5,0,22.17
Tanzania,1999,2,8.33,6.17,1.38,0,17.88
Tanzania,2000,2,8.79,6,4.88,0.38,22.05
Tanzania,2001,0,9.08,6.5,4.67,0.5,20.75
Tanzania,2002,0,8.58,6.5,4.5,0.5,20.08
Tanzania,2003,0,9.38,6.5,4.5,0.5,20.88
Tanzania,2004,0.17,9.67,7.67,5.83,1.67,25.01
Tanzania,2005,0.5,9.67,10,7.5,4,31.67
Tanzania,2006,0.5,8.79,10,7.5,4,30.79
Tanzania,2007,0.5,9.79,10,10.25,3.54,34.08
Tanzania,2008,10,9.67,10,6,2.5,38.17
Tanzania,2009,9.38,8.79,10,6.75,2.38,37.3
Tanzania,2010,7.46,9.04,10,8.92,2.13,37.55
Tanzania,2011,7,8.92,10,8.96,3,37.88
Tanzania,2012,7,9.88,10,9,3,38.88
Tanzania,2013,6.75,10,10,8.63,2.88,38.26
Thailand,1984,6,5.92,8,10.58,0.92,31.42
Thailand,1985,6,5,7.96,10.46,0.96,30.38
Thailand,1986,6,5,7.75,11.38,1.08,31.21
Thailand,1987,6,5,7.5,12.5,1.5,32.5
Thailand,1988,7.42,6.67,8.38,12.33,1.79,36.59
Thailand,1989,8.5,8.33,8.04,11.58,2.33,38.78
Thailand,1990,8.42,8.83,8.25,11.17,2.83,39.5
Thailand,1991,8,8,9,10.25,3,38.25
Thailand,1992,8.46,8,9,10.25,3.38,39.09
Thailand,1993,8.5,8,9,10.5,3.29,39.29
Thailand,1994,8.5,8,9,10.71,3.5,39.71
Thailand,1995,8.5,8,9.5,11.04,3.5,40.54
Thailand,1996,8.5,8,9.58,11.42,3.5,41
Thailand,1997,7.5,6.54,9,10.08,2.75,35.87
Thailand,1998,5.04,4.88,7.83,11.75,2.33,31.83
Thailand,1999,4.46,9.04,8,13.13,2.75,37.38
Thailand,2000,4.67,9.46,7.83,13.5,3,38.46
Thailand,2001,5.5,8.54,8.5,12.75,2.83,38.12
Thailand,2002,5.5,9.96,8.5,13,3,39.96
Thailand,2003,5.5,10,8.5,12.63,3,39.63
Thailand,2004,6.38,10,8.5,12.75,3.25,40.88
Thailand,2005,7.13,9.96,9.25,12.46,3,41.8
Thailand,2006,7.5,9.88,9,12,2.63,41.01
Thailand,2007,7.42,9.83,9.5,12.25,2.5,41.5
Thailand,2008,7.46,9.58,9.5,12.5,2.33,41.37
Thailand,2009,7.25,9.54,9.21,12.58,3.08,41.66
Thailand,2010,7.5,10,9.42,13,3.92,43.84
Thailand,2011,7.5,10,9.5,12.75,4,43.75
Thailand,2012,6.88,9.92,9.88,12.13,4.25,43.06
Thailand,2013,6.88,9.92,10,12,3.71,42.51
Togo,1984,5.02,5.33,6.79,6.5,1.79,25.43
Togo,1985,4.75,5,7.63,11.5,2.42,31.3
Togo,1986,4.25,5,6.58,12.17,3.67,31.67
Togo,1987,4.04,5,5.29,9.21,3.08,26.62
Togo,1988,4.5,5,6.38,10.25,2.58,28.71
Togo,1989,4.5,5,9,10.75,1.54,30.79
Togo,1990,4.5,5,8,11,2.17,30.67
Togo,1991,4.5,5,8,10.08,2.67,30.25
Togo,1992,4.5,5,8,10.96,2,30.46
Togo,1993,4.5,5,6.83,11.33,1.54,29.2
Togo,1994,4.71,5,7.79,10.17,0.58,28.25
Togo,1995,5,5,8.88,9.54,0,28.42
Togo,1996,5,5,8.58,7.42,0.5,26.5
Togo,1997,4.33,5.92,8.5,10.5,0.88,30.13
Togo,1998,3,9.58,8.5,11.38,0.63,33.09
Togo,1999,3.42,9.38,8.88,11,0.88,33.56
Togo,2000,3.5,7.79,9,11,1,32.29
Togo,2001,3.5,9.5,9,11,1,34
Togo,2002,3.5,9.88,9,11,1,34.38
Togo,2003,3.5,9.08,9,11,1,33.58
Togo,2004,3,9.83,9.25,10,1.5,33.58
Togo,2005,2.5,9.79,9.5,9.58,2.29,33.66
Togo,2006,2.5,9.71,9.5,10,1.58,33.29
Togo,2007,2.58,9.96,9.5,10,1.5,33.54
Togo,2008,3.46,9.42,9.5,10,1.58,33.96
Togo,2009,4.08,8.54,9.5,9.58,2.04,33.74
Togo,2010,6.88,8.92,9.88,10.88,2.5,39.06
Togo,2011,7.5,9.79,10,11,2.5,40.79
Togo,2012,8,9.29,10,10.33,2.25,39.87
Togo,2013,8.08,10,10,10.33,1.58,39.99
Trinidad & Tobago,1984,5.95,5.67,10,9.92,4.08,35.62
Trinidad & Tobago,1985,6,6,9.54,9.5,3.54,34.58
Trinidad & Tobago,1986,5.5,6,9.5,11.25,3.17,35.42
Trinidad & Tobago,1987,5.04,5.92,9.04,10.21,2.04,32.25
Trinidad & Tobago,1988,5.04,5.33,8.5,11.21,0.92,31
Trinidad & Tobago,1989,5,6,7.29,10.58,0.54,29.41
Trinidad & Tobago,1990,5.29,6,8.29,11.5,0.13,31.21
Trinidad & Tobago,1991,6.67,6.25,8.08,13.25,1.08,35.33
Trinidad & Tobago,1992,6.96,7,7.88,12.33,0,34.17
Trinidad & Tobago,1993,6.5,7.67,7,11.83,0,33
Trinidad & Tobago,1994,6.5,8,7.54,12.79,0,34.83
Trinidad & Tobago,1995,6.5,8,7.54,12.79,0,34.83
Trinidad & Tobago,1996,6.5,8,7.21,12.63,0.92,35.26
Trinidad & Tobago,1997,6.67,8.67,8,12.67,1,37.01
Trinidad & Tobago,1998,7,10,8.42,12.5,1.96,39.88
Trinidad & Tobago,1999,7.5,10,8.75,11.04,2.13,39.42
Trinidad & Tobago,2000,8.5,10,8.5,11,1.5,39.5
Trinidad & Tobago,2001,8.17,10,8.5,11.33,1.5,39.5
Trinidad & Tobago,2002,8,10,8.5,12.04,1.5,40.04
Trinidad & Tobago,2003,8.33,10,9.13,12.96,3.33,43.75
Trinidad & Tobago,2004,8.5,10,10,12.54,3.5,44.54
Trinidad & Tobago,2005,8.79,10,9.96,13,3.63,45.38
Trinidad & Tobago,2006,8.83,10,10,14.75,3.17,46.75
Trinidad & Tobago,2007,8.5,10,10,14.67,2.67,45.84
Trinidad & Tobago,2008,8.67,10,10,14.54,2.79,46
Trinidad & Tobago,2009,8.83,10,10,14.83,4.17,47.83
Trinidad & Tobago,2010,9.25,10,10,14,4.25,47.5
Trinidad & Tobago,2011,8.17,10,10,13.58,4.08,45.83
Trinidad & Tobago,2012,8.17,10,10,14.21,4.38,46.76
Trinidad & Tobago,2013,8.13,10,10,13.88,4.5,46.51
Tunisia,1984,4.5,4.75,8,10.25,1.25,28.75
Tunisia,1985,4.5,5,8,9.29,0.75,27.54
Tunisia,1986,4.13,5,7.17,10.42,0.58,27.3
Tunisia,1987,4,5,6.54,9.96,0,25.5
Tunisia,1988,4.71,5,6.5,11.13,0.04,27.38
Tunisia,1989,5,5,7,12.46,0.58,30.04
Tunisia,1990,5,5,7.58,11.92,0.71,30.21
Tunisia,1991,4.79,5,7.83,11.08,0.42,29.12
Tunisia,1992,5.92,6,7.5,11.67,0.21,31.3
Tunisia,1993,6.5,6,7,12.17,0.17,31.84
Tunisia,1994,6.5,6,7.75,11.25,0.17,31.67
Tunisia,1995,6.5,6,8,11.54,1,33.04
Tunisia,1996,6.5,6,7.92,11.92,1,33.34
Tunisia,1997,6.17,6.58,8,11.75,1.42,33.92
Tunisia,1998,5.5,9.54,8,11.92,1,35.96
Tunisia,1999,5.5,9.54,8,11.5,1.5,36.04
Tunisia,2000,5.5,7.75,8,11.54,1,33.79
Tunisia,2001,5.5,9.33,7.67,11.5,1.83,35.83
Tunisia,2002,5.5,9.92,7.5,11.25,2,36.17
Tunisia,2003,5.08,9.79,8.17,11.71,1.58,36.33
Tunisia,2004,4.88,10,8.42,11.83,1.96,37.09
Tunisia,2005,4.58,9.63,8.79,11.92,2.08,37
Tunisia,2006,4.67,9.67,9,12,2,37.34
Tunisia,2007,4.71,10,8.71,12,2,37.42
Tunisia,2008,4.5,9.71,8.71,10.92,2.21,36.05
Tunisia,2009,5.13,8.33,9,11.92,2.71,37.09
Tunisia,2010,6,8.88,9.33,12,2.83,39.04
Tunisia,2011,5.17,10,9,11.13,3.17,38.47
Tunisia,2012,5,8.63,8.67,10.79,2.54,35.63
Tunisia,2013,4.58,9.92,8.5,10.46,2.13,35.59
Turkey,1984,4.64,4.29,7.5,11,0,27.43
Turkey,1985,4.5,4.42,7.04,11.04,0,27
Turkey,1986,4.75,5,7,11.83,0,28.58
Turkey,1987,5,5,5.21,11.42,0,26.63
Turkey,1988,4.04,3.17,5.29,11.54,0,24.04
Turkey,1989,3,2,6,12.21,0,23.21
Turkey,1990,2.79,2,6.08,12.25,0,23.12
Turkey,1991,2.54,2.08,6.83,11.38,0,22.83
Turkey,1992,6.46,8,6.46,11.92,0,32.84
Turkey,1993,6,8,7.33,11.92,0.42,33.67
Turkey,1994,5.67,8,7.5,11.54,0.13,32.84
Turkey,1995,5.42,8,7.04,12.83,0.25,33.54
Turkey,1996,5,7.42,6.75,11.38,0.75,31.3
Turkey,1997,5.21,5.04,6,10.25,0.83,27.33
Turkey,1998,5.75,2.5,6.17,10.83,0.83,26.08
Turkey,1999,6.88,3.33,6.75,11.83,1.54,30.33
Turkey,2000,5,2.96,5,12.29,2,27.25
Turkey,2001,5.13,1.38,6,11.67,1.42,25.6
Turkey,2002,4.17,7.04,6,12.38,1,30.59
Turkey,2003,4.5,8.04,6,11.75,0.25,30.54
Turkey,2004,5,9.5,6.33,11.38,0.08,32.29
Turkey,2005,5,9.96,6.63,11.42,0.25,33.26
Turkey,2006,5.75,9.13,6.88,10.5,1,33.26
Turkey,2007,5.79,9.25,7,10.04,0.75,32.83
Turkey,2008,5.5,8.5,7,9.5,0.5,31
Turkey,2009,5.21,7,6.75,10.21,1.88,31.05
Turkey,2010,6,9.88,5.92,10.79,1.71,34.3
Turkey,2011,6.25,8.42,6.25,9.5,2.25,32.67
Turkey,2012,6.25,9.13,7.75,8.5,2.25,33.88
Turkey,2013,6,9.21,10,9,2,36.21
UAE,1984,7.2,6.17,NA,14.5,2.04,29.91
UAE,1985,4.42,6,NA,13.42,2,25.84
UAE,1986,3.71,6,NA,14.13,3.04,26.88
UAE,1987,3.5,6,NA,14.67,3.38,27.55
UAE,1988,3.29,6,NA,14.88,3.5,27.67
UAE,1989,3.75,6,NA,13.58,3.25,26.58
UAE,1990,4.96,6,NA,14.13,3,28.09
UAE,1991,6.42,6.75,NA,14,2.58,29.75
UAE,1992,7.5,8.83,NA,13.42,3.21,32.96
UAE,1993,7.5,9,NA,13.13,2.33,31.96
UAE,1994,7.5,9,NA,12.67,2.25,31.42
UAE,1995,7.5,9,NA,12.33,2.21,31.04
UAE,1996,7.5,9,9.63,12.33,2.42,40.88
UAE,1997,7.67,9.33,10,12.75,2.08,41.83
UAE,1998,8,10,10,13,2.5,43.5
UAE,1999,7,10,9.5,12.5,2.92,41.92
UAE,2000,7.58,10,9.58,13.04,2,42.2
UAE,2001,8,10,10,14.5,2.5,45
UAE,2002,7.67,10,10,13.04,2.5,43.21
UAE,2003,7.96,10,10,13.67,2.71,44.34
UAE,2004,7.96,10,10,13.67,2.46,44.09
UAE,2005,8.5,10,10,13.67,2,44.17
UAE,2006,8.58,10,10,14.42,1.92,44.92
UAE,2007,7.17,10,10,14,1.5,42.67
UAE,2008,5.67,10,10,14.25,1.29,41.21
UAE,2009,5.67,10,10,13,1.17,39.84
UAE,2010,4.83,10,10,12.5,1.5,38.83
UAE,2011,5,10,10,14,1.5,40.5
UAE,2012,5.5,10,9.5,13,1.75,39.75
UAE,2013,6,10,9,13.25,2,40.25
Uganda,1984,2.52,4.04,5.92,1.25,NA,13.73
Uganda,1985,2,3,6.08,15.63,NA,26.71
Uganda,1986,2.58,3,6.04,5.5,NA,17.12
Uganda,1987,3.63,3.58,6.96,12.83,NA,27
Uganda,1988,4.5,4,7.67,11.5,NA,27.67
Uganda,1989,4.5,3.67,8.38,7.04,NA,23.59
Uganda,1990,4.5,3.5,5.96,0,NA,13.96
Uganda,1991,4.5,3.83,0.5,1.58,NA,10.41
Uganda,1992,4.42,5,1.46,0.79,NA,11.67
Uganda,1993,3.5,5,4.5,4.25,NA,17.25
Uganda,1994,3.5,5,7.21,10.08,NA,25.79
Uganda,1995,3.5,6.33,7.92,12.29,NA,30.04
Uganda,1996,3.5,7,7,10.88,0.06,28.44
Uganda,1997,3.92,7.79,7,11.54,0.5,30.75
Uganda,1998,5,8.29,7,12,1.5,33.79
Uganda,1999,5,7.33,8.38,10.63,2.08,33.42
Uganda,2000,5,8.17,9,10.5,2.5,35.17
Uganda,2001,5,8.71,9,12.83,1.5,37.04
Uganda,2002,5,9.88,9,10,1.5,35.38
Uganda,2003,5,8.92,9,10,1.5,34.42
Uganda,2004,4.79,9.79,8.38,9.38,2.33,34.67
Uganda,2005,4.5,9.63,7.5,9.96,3.5,35.09
Uganda,2006,4.04,9.79,7.5,10.54,3.5,35.37
Uganda,2007,4,9.92,7.5,10.5,3.5,35.42
Uganda,2008,7,9.63,8.83,10.5,2.83,38.79
Uganda,2009,8.5,7.04,9.5,10.5,2.5,38.04
Uganda,2010,8.5,8.67,9.5,10.46,2.58,39.71
Uganda,2011,8.58,8.08,10,10.08,3.5,40.24
Uganda,2012,8.33,9.63,10,9.17,3.5,40.63
Uganda,2013,8,9.58,10,7.5,3.5,38.58
Ukraine,1984,NA,NA,NA,NA,NA,0
Ukraine,1985,NA,NA,NA,NA,NA,0
Ukraine,1986,NA,NA,NA,NA,NA,0
Ukraine,1987,NA,NA,NA,NA,NA,0
Ukraine,1988,NA,NA,NA,NA,NA,0
Ukraine,1989,NA,NA,NA,NA,NA,0
Ukraine,1990,NA,NA,NA,NA,NA,0
Ukraine,1991,NA,NA,NA,NA,NA,0
Ukraine,1992,NA,NA,NA,NA,NA,0
Ukraine,1993,NA,NA,NA,NA,NA,0
Ukraine,1994,NA,NA,NA,NA,NA,0
Ukraine,1995,NA,NA,NA,NA,NA,0
Ukraine,1996,NA,NA,NA,NA,NA,0
Ukraine,1997,NA,NA,NA,NA,NA,0
Ukraine,1998,7.44,5.72,9,10.61,0,32.77
Ukraine,1999,5.92,2.13,8,11.5,0,27.55
Ukraine,2000,6.5,5.38,8.5,12,0,32.38
Ukraine,2001,7,10,8.5,12.46,1.33,39.29
Ukraine,2002,7,10,8.5,12.5,1.5,39.5
Ukraine,2003,7,10,8.83,12.88,1.13,39.84
Ukraine,2004,7.25,10,9.21,13,1.92,41.38
Ukraine,2005,5.92,10,9,13,1.67,39.59
Ukraine,2006,7,10,9.29,12.33,1.5,40.12
Ukraine,2007,5.88,10,9.5,11.58,1.33,38.29
Ukraine,2008,5.04,9.38,9.58,11.33,1.25,36.58
Ukraine,2009,4.46,3.5,9,11.5,2.5,30.96
Ukraine,2010,3.25,10,8.5,12,1.75,35.5
Ukraine,2011,3.13,10,7.33,11.58,1.63,33.67
Ukraine,2012,3.63,10,6.13,11.5,2.38,33.64
Ukraine,2013,3.67,10,9.5,11.17,1.5,35.84
United Kingdom,1984,9.2,9,5.46,12.5,0.92,37.08
United Kingdom,1985,9.38,9,5.08,12.5,0.67,36.63
United Kingdom,1986,9.5,9,5.08,12.5,1,37.08
United Kingdom,1987,9.92,9.67,6,12.04,1.04,38.67
United Kingdom,1988,10,10,5.5,11.79,1.42,38.71
United Kingdom,1989,10,10,5.5,11.38,1.17,38.05
United Kingdom,1990,10,10,5.5,11.5,1.75,38.75
United Kingdom,1991,10,10,5.67,11.79,0.83,38.29
United Kingdom,1992,10,8.58,6.17,11.96,0.79,37.5
United Kingdom,1993,8.75,7.75,6,11.5,0.5,34.5
United Kingdom,1994,8.5,8,5.58,11.46,0.38,33.92
United Kingdom,1995,9,9,5.13,12,0.04,35.17
United Kingdom,1996,8.54,9,4.58,12,0,34.12
United Kingdom,1997,9,9.33,5.21,10.96,0.46,34.96
United Kingdom,1998,9.96,10,5.5,9.71,0.92,36.09
United Kingdom,1999,9.5,10,5.5,11.96,0,36.96
United Kingdom,2000,9.5,9.42,5.5,12,0,36.42
United Kingdom,2001,9.5,9.29,5.5,12,0,36.29
United Kingdom,2002,9.5,10,5.5,11.92,0,36.92
United Kingdom,2003,9.5,9.88,9.63,11.96,0.92,41.89
United Kingdom,2004,7.92,9.71,10,12,0.92,40.55
United Kingdom,2005,7.33,9.79,10,11.54,0.5,39.16
United Kingdom,2006,8,9.71,10,11.5,0.5,39.71
United Kingdom,2007,8,9.92,10,11.5,0.5,39.92
United Kingdom,2008,8.21,8.83,10,11.5,0.5,39.04
United Kingdom,2009,8,7.29,10,11.71,0.71,37.71
United Kingdom,2010,7.42,9.38,10,12,0.71,39.51
United Kingdom,2011,6.67,9.92,9.96,11.88,0.5,38.93
United Kingdom,2012,5.67,10,9.5,11.96,0.79,37.92
United Kingdom,2013,5,9.92,9.5,11.5,1,36.92
United States,1984,9.77,9.67,8.13,10.33,2.63,40.53
United States,1985,10,9.58,8,8.88,2.71,39.17
